chrom,start,end,strand,pattern,subpattern
chr1,640000,640020,+,pos/pattern_0,
chr1,640143,640163,-,pos/pattern_1,
chr1,640208,640228,+,pos/pattern_2,
chr1,657929,657949,+,pos/pattern_2,
chr1,657960,657980,-,pos/pattern_1,
chr1,658000,658020,-,pos/pattern_0,
chr1,676000,676020,+,pos/pattern_0,
chr1,676129,676149,+,pos/pattern_1,
chr1,676187,676207,-,pos/pattern_2,
chr1,693960,693980,-,pos/pattern_1,
chr1,694000,694020,-,pos/pattern_0,
chr1,694148,694168,+,pos/pattern_2,
chr1,711960,711980,-,pos/pattern_1,
chr1,712000,712020,-,pos/pattern_0,
chr1,712108,712128,-,pos/pattern_2,
chr1,729769,729789,-,pos/pattern_2,
chr1,730000,730020,+,pos/pattern_0,
chr1,730040,730060,+,pos/pattern_1,
chr1,747937,747957,+,pos/pattern_1,
chr1,748000,748020,+,pos/pattern_0,
chr1,748155,748175,+,pos/pattern_2,
chr1,765817,765837,+,pos/pattern_2,
chr1,766000,766020,+,pos/pattern_0,
chr1,766068,766088,+,pos/pattern_1,
chr1,784000,784020,+,pos/pattern_0,
chr1,784169,784189,-,pos/pattern_2,
chr1,784207,784227,-,pos/pattern_1,
chr1,801960,801980,-,pos/pattern_1,
chr1,802000,802020,-,pos/pattern_0,
chr1,802233,802253,-,pos/pattern_2,
chr1,819774,819794,+,pos/pattern_2,
chr1,820000,820020,+,pos/pattern_0,
chr1,820220,820240,-,pos/pattern_1,
chr1,837847,837867,+,pos/pattern_2,
chr1,838000,838020,+,pos/pattern_0,
chr1,838040,838060,+,pos/pattern_1,
chr1,856000,856020,-,pos/pattern_0,
chr1,856159,856179,+,pos/pattern_2,
chr1,856234,856254,-,pos/pattern_1,
chr1,873811,873831,-,pos/pattern_2,
chr1,874000,874020,-,pos/pattern_0,
chr1,874183,874203,+,pos/pattern_1,
chr1,891960,891980,-,pos/pattern_1,
chr1,892000,892020,-,pos/pattern_0,
chr1,892090,892110,+,pos/pattern_2,
chr1,910000,910020,+,pos/pattern_0,
chr1,910040,910060,+,pos/pattern_1,
chr1,910142,910162,+,pos/pattern_2,
chr1,928000,928020,+,pos/pattern_0,
chr1,928040,928060,+,pos/pattern_1,
chr1,928136,928156,-,pos/pattern_2,
chr1,945960,945980,-,pos/pattern_1,
chr1,946000,946020,-,pos/pattern_0,
chr1,946168,946188,-,pos/pattern_2,
chr1,963830,963850,-,pos/pattern_2,
chr1,964000,964020,+,pos/pattern_0,
chr1,964040,964060,+,pos/pattern_1,
chr1,981960,981980,-,pos/pattern_1,
chr1,982000,982020,-,pos/pattern_0,
chr1,982229,982249,-,pos/pattern_2,
chr1,999796,999816,+,pos/pattern_2,
chr1,1000000,1000020,+,pos/pattern_0,
chr1,1000040,1000060,+,pos/pattern_1,
chr1,1017868,1017888,+,pos/pattern_1,
chr1,1018000,1018020,+,pos/pattern_0,
chr1,1018101,1018121,-,pos/pattern_2,
chr1,1035960,1035980,-,pos/pattern_1,
chr1,1036000,1036020,-,pos/pattern_0,
chr1,1036165,1036185,+,pos/pattern_2,
chr1,1053960,1053980,-,pos/pattern_1,
chr1,1054000,1054020,-,pos/pattern_0,
chr1,1054226,1054246,-,pos/pattern_2,
chr1,1071847,1071867,-,pos/pattern_1,
chr1,1072000,1072020,+,pos/pattern_0,
chr1,1072181,1072201,+,pos/pattern_2,
chr1,1090000,1090020,+,pos/pattern_0,
chr1,1090040,1090060,+,pos/pattern_1,
chr1,1090184,1090204,-,pos/pattern_2,
chr1,1107832,1107852,+,pos/pattern_2,
chr1,1107960,1107980,-,pos/pattern_1,
chr1,1108000,1108020,-,pos/pattern_0,
chr1,1125918,1125938,-,pos/pattern_2,
chr1,1126000,1126020,-,pos/pattern_0,
chr1,1126103,1126123,+,pos/pattern_1,
chr1,1143870,1143890,+,pos/pattern_2,
chr1,1143960,1143980,-,pos/pattern_1,
chr1,1144000,1144020,-,pos/pattern_0,
chr1,1161960,1161980,-,pos/pattern_1,
chr1,1162000,1162020,-,pos/pattern_0,
chr1,1162178,1162198,-,pos/pattern_2,
chr1,1179836,1179856,-,pos/pattern_2,
chr1,1179960,1179980,-,pos/pattern_1,
chr1,1180000,1180020,-,pos/pattern_0,
chr1,1197879,1197899,-,pos/pattern_2,
chr1,1198000,1198020,+,pos/pattern_0,
chr1,1198040,1198060,+,pos/pattern_1,
chr1,1215960,1215980,-,pos/pattern_1,
chr1,1216000,1216020,-,pos/pattern_0,
chr1,1216136,1216156,+,pos/pattern_2,
chr1,1234000,1234020,+,pos/pattern_0,
chr1,1234040,1234060,+,pos/pattern_1,
chr1,1234062,1234082,+,pos/pattern_2,
chr1,1251834,1251854,+,pos/pattern_1,
chr1,1251909,1251929,+,pos/pattern_2,
chr1,1252000,1252020,-,pos/pattern_0,
chr1,1269844,1269864,-,pos/pattern_1,
chr1,1269909,1269929,-,pos/pattern_2,
chr1,1270000,1270020,+,pos/pattern_0,
chr1,1288000,1288020,+,pos/pattern_0,
chr1,1288134,1288154,+,pos/pattern_1,
chr1,1288168,1288188,-,pos/pattern_2,
chr1,1305868,1305888,-,pos/pattern_1,
chr1,1306000,1306020,+,pos/pattern_0,
chr1,1306081,1306101,-,pos/pattern_2,
chr1,1323842,1323862,+,pos/pattern_2,
chr1,1324000,1324020,+,pos/pattern_0,
chr1,1324040,1324060,+,pos/pattern_1,
chr1,1341905,1341925,+,pos/pattern_1,
chr1,1342000,1342020,-,pos/pattern_0,
chr1,1342146,1342166,-,pos/pattern_2,
chr1,1360000,1360020,+,pos/pattern_0,
chr1,1360040,1360060,+,pos/pattern_1,
chr1,1360143,1360163,-,pos/pattern_2,
chr1,1377831,1377851,+,pos/pattern_2,
chr1,1377922,1377942,+,pos/pattern_1,
chr1,1378000,1378020,+,pos/pattern_0,
chr1,1395960,1395980,-,pos/pattern_1,
chr1,1396000,1396020,-,pos/pattern_0,
chr1,1396133,1396153,+,pos/pattern_2,
chr1,1413808,1413828,+,pos/pattern_2,
chr1,1414000,1414020,+,pos/pattern_0,
chr1,1414040,1414060,+,pos/pattern_1,
chr1,1431829,1431849,+,pos/pattern_1,
chr1,1432000,1432020,-,pos/pattern_0,
chr1,1432215,1432235,-,pos/pattern_2,
chr1,1449805,1449825,+,pos/pattern_2,
chr1,1450000,1450020,+,pos/pattern_0,
chr1,1450040,1450060,+,pos/pattern_1,
chr1,1468000,1468020,-,pos/pattern_0,
chr1,1468068,1468088,-,pos/pattern_2,
chr1,1468184,1468204,-,pos/pattern_1,
chr1,1485862,1485882,-,pos/pattern_2,
chr1,1486000,1486020,+,pos/pattern_0,
chr1,1486073,1486093,+,pos/pattern_1,
chr1,1504000,1504020,+,pos/pattern_0,
chr1,1504040,1504060,+,pos/pattern_1,
chr1,1504148,1504168,-,pos/pattern_2,
chr1,1521795,1521815,-,pos/pattern_1,
chr1,1521821,1521841,+,pos/pattern_2,
chr1,1522000,1522020,+,pos/pattern_0,
chr1,1539883,1539903,+,pos/pattern_2,
chr1,1539960,1539980,-,pos/pattern_1,
chr1,1540000,1540020,-,pos/pattern_0,
chr1,1557872,1557892,-,pos/pattern_2,
chr1,1558000,1558020,+,pos/pattern_0,
chr1,1558040,1558060,+,pos/pattern_1,
chr1,1575773,1575793,+,pos/pattern_2,
chr1,1576000,1576020,+,pos/pattern_0,
chr1,1576040,1576060,+,pos/pattern_1,
chr1,1593960,1593980,-,pos/pattern_1,
chr1,1594000,1594020,-,pos/pattern_0,
chr1,1594198,1594218,-,pos/pattern_2,
chr1,1611793,1611813,-,pos/pattern_1,
chr1,1612000,1612020,-,pos/pattern_0,
chr1,1612098,1612118,-,pos/pattern_2,
chr1,1629960,1629980,-,pos/pattern_1,
chr1,1630000,1630020,-,pos/pattern_0,
chr1,1630203,1630223,+,pos/pattern_2,
chr1,1647824,1647844,-,pos/pattern_1,
chr1,1647847,1647867,-,pos/pattern_2,
chr1,1648000,1648020,-,pos/pattern_0,
chr1,1665787,1665807,+,pos/pattern_2,
chr1,1665960,1665980,-,pos/pattern_1,
chr1,1666000,1666020,-,pos/pattern_0,
chr1,1684000,1684020,+,pos/pattern_0,
chr1,1684151,1684171,+,pos/pattern_1,
chr1,1684224,1684244,-,pos/pattern_2,
chr1,1701811,1701831,+,pos/pattern_2,
chr1,1702000,1702020,+,pos/pattern_0,
chr1,1702040,1702060,+,pos/pattern_1,
chr1,1719897,1719917,-,pos/pattern_2,
chr1,1719960,1719980,-,pos/pattern_1,
chr1,1720000,1720020,-,pos/pattern_0,
chr1,1737960,1737980,-,pos/pattern_1,
chr1,1738000,1738020,-,pos/pattern_0,
chr1,1738232,1738252,+,pos/pattern_2,
chr1,1755922,1755942,-,pos/pattern_1,
chr1,1756000,1756020,+,pos/pattern_0,
chr1,1756216,1756236,-,pos/pattern_2,
chr1,1773928,1773948,+,pos/pattern_2,
chr1,1774000,1774020,-,pos/pattern_0,
chr1,1774230,1774250,-,pos/pattern_1,
chr1,1792000,1792020,+,pos/pattern_0,
chr1,1792040,1792060,+,pos/pattern_1,
chr1,1792074,1792094,+,pos/pattern_2,
chr1,1809901,1809921,+,pos/pattern_2,
chr1,1810000,1810020,+,pos/pattern_0,
chr1,1810040,1810060,+,pos/pattern_1,
chr1,1828000,1828020,+,pos/pattern_0,
chr1,1828040,1828060,+,pos/pattern_1,
chr1,1828120,1828140,+,pos/pattern_2,
chr1,1845925,1845945,-,pos/pattern_2,
chr1,1846000,1846020,+,pos/pattern_0,
chr1,1846040,1846060,+,pos/pattern_1,
chr1,1864000,1864020,+,pos/pattern_0,
chr1,1864040,1864060,+,pos/pattern_1,
chr1,1864098,1864118,+,pos/pattern_2,
chr1,1881812,1881832,+,pos/pattern_1,
chr1,1882000,1882020,-,pos/pattern_0,
chr1,1882178,1882198,+,pos/pattern_2,
chr2,106000,106020,-,pos/pattern_0,
chr2,106081,106101,+,pos/pattern_1,
chr2,106144,106164,+,pos/pattern_2,
chr2,124000,124020,+,pos/pattern_0,
chr2,124040,124060,+,pos/pattern_1,
chr2,124085,124105,-,pos/pattern_2,
chr2,141767,141787,-,pos/pattern_2,
chr2,142000,142020,+,pos/pattern_0,
chr2,142184,142204,+,pos/pattern_1,
chr2,159868,159888,-,pos/pattern_1,
chr2,159872,159892,-,pos/pattern_2,
chr2,160000,160020,+,pos/pattern_0,
chr2,177886,177906,-,pos/pattern_1,
chr2,178000,178020,+,pos/pattern_0,
chr2,178232,178252,+,pos/pattern_2,
chr2,195855,195875,+,pos/pattern_2,
chr2,196000,196020,+,pos/pattern_0,
chr2,196127,196147,-,pos/pattern_1,
chr2,213845,213865,+,pos/pattern_2,
chr2,214000,214020,-,pos/pattern_0,
chr2,214154,214174,-,pos/pattern_1,
chr2,231794,231814,+,pos/pattern_2,
chr2,231960,231980,-,pos/pattern_1,
chr2,232000,232020,-,pos/pattern_0,
chr2,249848,249868,-,pos/pattern_2,
chr2,249912,249932,-,pos/pattern_1,
chr2,250000,250020,+,pos/pattern_0,
chr2,268000,268020,-,pos/pattern_0,
chr2,268191,268211,+,pos/pattern_2,
chr2,268205,268225,+,pos/pattern_1,
chr2,285789,285809,-,pos/pattern_2,
chr2,285826,285846,-,pos/pattern_1,
chr2,286000,286020,+,pos/pattern_0,
chr2,303895,303915,+,pos/pattern_2,
chr2,303960,303980,-,pos/pattern_1,
chr2,304000,304020,-,pos/pattern_0,
chr2,322000,322020,-,pos/pattern_0,
chr2,322163,322183,+,pos/pattern_1,
chr2,322211,322231,-,pos/pattern_2,
chr2,339931,339951,-,pos/pattern_1,
chr2,340000,340020,+,pos/pattern_0,
chr2,340173,340193,-,pos/pattern_2,
chr2,358000,358020,+,pos/pattern_0,
chr2,358040,358060,+,pos/pattern_1,
chr2,358105,358125,-,pos/pattern_2,
chr2,375960,375980,-,pos/pattern_1,
chr2,376000,376020,-,pos/pattern_0,
chr2,376217,376237,-,pos/pattern_2,
chr2,393885,393905,+,pos/pattern_2,
chr2,394000,394020,+,pos/pattern_0,
chr2,394040,394060,+,pos/pattern_1,
chr2,411890,411910,-,pos/pattern_2,
chr2,411960,411980,-,pos/pattern_1,
chr2,412000,412020,-,pos/pattern_0,
chr2,429783,429803,-,pos/pattern_2,
chr2,429960,429980,-,pos/pattern_1,
chr2,430000,430020,-,pos/pattern_0,
chr2,447798,447818,-,pos/pattern_2,
chr2,447871,447891,+,pos/pattern_1,
chr2,448000,448020,+,pos/pattern_0,
chr2,465960,465980,-,pos/pattern_1,
chr2,466000,466020,-,pos/pattern_0,
chr2,466141,466161,-,pos/pattern_2,
chr2,484000,484020,+,pos/pattern_0,
chr2,484040,484060,+,pos/pattern_1,
chr2,484194,484214,+,pos/pattern_2,
chr2,501820,501840,-,pos/pattern_2,
chr2,502000,502020,+,pos/pattern_0,
chr2,502040,502060,+,pos/pattern_1,
chr2,520000,520020,+,pos/pattern_0,
chr2,520120,520140,+,pos/pattern_2,
chr2,520234,520254,+,pos/pattern_1,
chr2,537804,537824,+,pos/pattern_2,
chr2,537960,537980,-,pos/pattern_1,
chr2,538000,538020,-,pos/pattern_0,
chr2,555865,555885,-,pos/pattern_2,
chr2,556000,556020,-,pos/pattern_0,
chr2,556231,556251,-,pos/pattern_1,
chr2,573840,573860,+,pos/pattern_1,
chr2,574000,574020,+,pos/pattern_0,
chr2,574202,574222,+,pos/pattern_2,
chr2,591795,591815,+,pos/pattern_1,
chr2,592000,592020,-,pos/pattern_0,
chr2,592078,592098,-,pos/pattern_2,
chr2,609786,609806,-,pos/pattern_2,
chr2,610000,610020,+,pos/pattern_0,
chr2,610040,610060,+,pos/pattern_1,
chr2,627960,627980,-,pos/pattern_1,
chr2,628000,628020,-,pos/pattern_0,
chr2,628126,628146,-,pos/pattern_2,
chr2,645845,645865,-,pos/pattern_2,
chr2,645960,645980,-,pos/pattern_1,
chr2,646000,646020,-,pos/pattern_0,
chr2,664000,664020,+,pos/pattern_0,
chr2,664040,664060,+,pos/pattern_1,
chr2,664219,664239,-,pos/pattern_2,
chr2,681822,681842,+,pos/pattern_2,
chr2,681890,681910,-,pos/pattern_1,
chr2,682000,682020,+,pos/pattern_0,
chr2,700000,700020,+,pos/pattern_0,
chr2,700064,700084,+,pos/pattern_2,
chr2,700099,700119,+,pos/pattern_1,
chr2,717780,717800,-,pos/pattern_2,
chr2,717902,717922,+,pos/pattern_1,
chr2,718000,718020,+,pos/pattern_0,
chr2,735803,735823,-,pos/pattern_1,
chr2,735821,735841,-,pos/pattern_2,
chr2,736000,736020,-,pos/pattern_0,
chr2,753927,753947,+,pos/pattern_2,
chr2,754000,754020,+,pos/pattern_0,
chr2,754040,754060,+,pos/pattern_1,
chr2,771960,771980,-,pos/pattern_1,
chr2,772000,772020,-,pos/pattern_0,
chr2,772116,772136,-,pos/pattern_2,
chr2,789772,789792,+,pos/pattern_1,
chr2,789826,789846,-,pos/pattern_2,
chr2,790000,790020,+,pos/pattern_0,
chr2,808000,808020,+,pos/pattern_0,
chr2,808040,808060,+,pos/pattern_1,
chr2,808168,808188,+,pos/pattern_2,
chr2,825792,825812,+,pos/pattern_1,
chr2,825855,825875,-,pos/pattern_2,
chr2,826000,826020,+,pos/pattern_0,
chr2,844000,844020,+,pos/pattern_0,
chr2,844117,844137,+,pos/pattern_2,
chr2,844235,844255,+,pos/pattern_1,
chr2,861836,861856,-,pos/pattern_1,
chr2,862000,862020,-,pos/pattern_0,
chr2,862084,862104,+,pos/pattern_2,
chr2,880000,880020,+,pos/pattern_0,
chr2,880040,880060,+,pos/pattern_1,
chr2,880091,880111,+,pos/pattern_2,
chr2,897794,897814,+,pos/pattern_1,
chr2,897920,897940,+,pos/pattern_2,
chr2,898000,898020,-,pos/pattern_0,
chr2,916000,916020,+,pos/pattern_0,
chr2,916040,916060,+,pos/pattern_1,
chr2,916169,916189,-,pos/pattern_2,
chr2,933805,933825,+,pos/pattern_2,
chr2,933960,933980,-,pos/pattern_1,
chr2,934000,934020,-,pos/pattern_0,
chr2,951960,951980,-,pos/pattern_1,
chr2,952000,952020,-,pos/pattern_0,
chr2,952088,952108,+,pos/pattern_2,
chr2,969960,969980,-,pos/pattern_1,
chr2,970000,970020,-,pos/pattern_0,
chr2,970225,970245,-,pos/pattern_2,
chr2,988000,988020,+,pos/pattern_0,
chr2,988040,988060,+,pos/pattern_1,
chr2,988098,988118,+,pos/pattern_2,
chr2,1005907,1005927,+,pos/pattern_2,
chr2,1006000,1006020,+,pos/pattern_0,
chr2,1006200,1006220,-,pos/pattern_1,
chr2,1024000,1024020,+,pos/pattern_0,
chr2,1024040,1024060,+,pos/pattern_1,
chr2,1024187,1024207,-,pos/pattern_2,
chr2,1041960,1041980,-,pos/pattern_1,
chr2,1042000,1042020,-,pos/pattern_0,
chr2,1042119,1042139,+,pos/pattern_2,
chr2,1060000,1060020,-,pos/pattern_0,
chr2,1060076,1060096,+,pos/pattern_2,
chr2,1060226,1060246,+,pos/pattern_1,
chr2,1077807,1077827,-,pos/pattern_1,
chr2,1078000,1078020,-,pos/pattern_0,
chr2,1078207,1078227,-,pos/pattern_2,
chr2,1095960,1095980,-,pos/pattern_1,
chr2,1096000,1096020,-,pos/pattern_0,
chr2,1096225,1096245,+,pos/pattern_2,
chr2,1113784,1113804,+,pos/pattern_1,
chr2,1113905,1113925,-,pos/pattern_2,
chr2,1114000,1114020,+,pos/pattern_0,
chr2,1131919,1131939,+,pos/pattern_2,
chr2,1131960,1131980,-,pos/pattern_1,
chr2,1132000,1132020,-,pos/pattern_0,
chr2,1149863,1149883,+,pos/pattern_2,
chr2,1150000,1150020,+,pos/pattern_0,
chr2,1150040,1150060,+,pos/pattern_1,
chr2,1167836,1167856,+,pos/pattern_1,
chr2,1167889,1167909,-,pos/pattern_2,
chr2,1168000,1168020,+,pos/pattern_0,
chr2,1185863,1185883,-,pos/pattern_2,
chr2,1186000,1186020,-,pos/pattern_0,
chr2,1186180,1186200,-,pos/pattern_1,
chr2,1204000,1204020,+,pos/pattern_0,
chr2,1204040,1204060,+,pos/pattern_1,
chr2,1204083,1204103,+,pos/pattern_2,
chr2,1221960,1221980,-,pos/pattern_1,
chr2,1222000,1222020,-,pos/pattern_0,
chr2,1222137,1222157,-,pos/pattern_2,
chr2,1239960,1239980,-,pos/pattern_1,
chr2,1240000,1240020,-,pos/pattern_0,
chr2,1240238,1240258,+,pos/pattern_2,
chr2,1257843,1257863,+,pos/pattern_2,
chr2,1257960,1257980,-,pos/pattern_1,
chr2,1258000,1258020,-,pos/pattern_0,
chr2,1275772,1275792,+,pos/pattern_2,
chr2,1276000,1276020,+,pos/pattern_0,
chr2,1276040,1276060,+,pos/pattern_1,
chr2,1293823,1293843,-,pos/pattern_2,
chr2,1294000,1294020,+,pos/pattern_0,
chr2,1294040,1294060,+,pos/pattern_1,
chr2,1312000,1312020,+,pos/pattern_0,
chr2,1312074,1312094,+,pos/pattern_2,
chr2,1312235,1312255,-,pos/pattern_1,
chr2,1329888,1329908,-,pos/pattern_2,
chr2,1329960,1329980,-,pos/pattern_1,
chr2,1330000,1330020,-,pos/pattern_0,
chr2,1347906,1347926,-,pos/pattern_2,
chr2,1347960,1347980,-,pos/pattern_1,
chr2,1348000,1348020,-,pos/pattern_0,
chr2,1365880,1365900,-,pos/pattern_2,
chr2,1366000,1366020,-,pos/pattern_0,
chr2,1366153,1366173,-,pos/pattern_1,
chr2,1384000,1384020,-,pos/pattern_0,
chr2,1384111,1384131,-,pos/pattern_1,
chr2,1384114,1384134,+,pos/pattern_2,
chr2,1401766,1401786,+,pos/pattern_2,
chr2,1401960,1401980,-,pos/pattern_1,
chr2,1402000,1402020,-,pos/pattern_0,
chr2,1419925,1419945,+,pos/pattern_1,
chr2,1420000,1420020,-,pos/pattern_0,
chr2,1420178,1420198,-,pos/pattern_2,
chr2,1437797,1437817,-,pos/pattern_2,
chr2,1438000,1438020,+,pos/pattern_0,
chr2,1438040,1438060,+,pos/pattern_1,
chr2,1455918,1455938,-,pos/pattern_1,
chr2,1456000,1456020,+,pos/pattern_0,
chr2,1456186,1456206,+,pos/pattern_2,
chr2,1473910,1473930,-,pos/pattern_2,
chr2,1474000,1474020,+,pos/pattern_0,
chr2,1474198,1474218,-,pos/pattern_1,
chr2,1491846,1491866,+,pos/pattern_2,
chr2,1491960,1491980,-,pos/pattern_1,
chr2,1492000,1492020,-,pos/pattern_0,
chr2,1509781,1509801,+,pos/pattern_2,
chr2,1509960,1509980,-,pos/pattern_1,
chr2,1510000,1510020,-,pos/pattern_0,
chr2,1527871,1527891,+,pos/pattern_2,
chr2,1527960,1527980,-,pos/pattern_1,
chr2,1528000,1528020,-,pos/pattern_0,
chr2,1545921,1545941,+,pos/pattern_1,
chr2,1546000,1546020,+,pos/pattern_0,
chr2,1546143,1546163,-,pos/pattern_2,
chr2,1563881,1563901,+,pos/pattern_2,
chr2,1564000,1564020,-,pos/pattern_0,
chr2,1564147,1564167,-,pos/pattern_1,
chr2,1582000,1582020,+,pos/pattern_0,
chr2,1582112,1582132,+,pos/pattern_2,
chr2,1582178,1582198,-,pos/pattern_1,
chr2,1599798,1599818,-,pos/pattern_2,
chr2,1600000,1600020,+,pos/pattern_0,
chr2,1600040,1600060,+,pos/pattern_1,
chr2,1617960,1617980,-,pos/pattern_1,
chr2,1618000,1618020,-,pos/pattern_0,
chr2,1618099,1618119,+,pos/pattern_2,
chr2,1635960,1635980,-,pos/pattern_1,
chr2,1636000,1636020,-,pos/pattern_0,
chr2,1636164,1636184,+,pos/pattern_2,
chr2,1654000,1654020,+,pos/pattern_0,
chr2,1654040,1654060,+,pos/pattern_1,
chr2,1654113,1654133,+,pos/pattern_2,
chr2,1671798,1671818,-,pos/pattern_1,
chr2,1671925,1671945,-,pos/pattern_2,
chr2,1672000,1672020,+,pos/pattern_0,
chr2,1690000,1690020,-,pos/pattern_0,
chr2,1690140,1690160,+,pos/pattern_2,
chr2,1690229,1690249,+,pos/pattern_1,
chr2,1708000,1708020,+,pos/pattern_0,
chr2,1708040,1708060,+,pos/pattern_1,
chr2,1708192,1708212,+,pos/pattern_2,
chr2,1726000,1726020,+,pos/pattern_0,
chr2,1726040,1726060,+,pos/pattern_1,
chr2,1726181,1726201,+,pos/pattern_2,
chr2,1744000,1744020,+,pos/pattern_0,
chr2,1744040,1744060,+,pos/pattern_1,
chr2,1744060,1744080,+,pos/pattern_2,
chr2,1761960,1761980,-,pos/pattern_1,
chr2,1762000,1762020,-,pos/pattern_0,
chr2,1762065,1762085,+,pos/pattern_2,
chr2,1779817,1779837,+,pos/pattern_2,
chr2,1780000,1780020,+,pos/pattern_0,
chr2,1780114,1780134,+,pos/pattern_1,
chr2,1797937,1797957,+,pos/pattern_2,
chr2,1798000,1798020,+,pos/pattern_0,
chr2,1798125,1798145,-,pos/pattern_1,
chr2,1815762,1815782,+,pos/pattern_1,
chr2,1815797,1815817,+,pos/pattern_2,
chr2,1816000,1816020,-,pos/pattern_0,
chr2,1833897,1833917,-,pos/pattern_1,
chr2,1834000,1834020,-,pos/pattern_0,
chr2,1834234,1834254,+,pos/pattern_2,
chr2,1851779,1851799,-,pos/pattern_2,
chr2,1851960,1851980,-,pos/pattern_1,
chr2,1852000,1852020,-,pos/pattern_0,
chr2,1869809,1869829,+,pos/pattern_2,
chr2,1870000,1870020,+,pos/pattern_0,
chr2,1870040,1870060,+,pos/pattern_1,
chr2,1888000,1888020,+,pos/pattern_0,
chr2,1888040,1888060,+,pos/pattern_1,
chr2,1888185,1888205,-,pos/pattern_2,
chr3,111849,111869,-,pos/pattern_2,
chr3,111960,111980,-,pos/pattern_1,
chr3,112000,112020,-,pos/pattern_0,
chr3,129960,129980,-,pos/pattern_1,
chr3,130000,130020,-,pos/pattern_0,
chr3,130152,130172,+,pos/pattern_2,
chr3,147810,147830,+,pos/pattern_2,
